solar_size,prod_cost_wt,hour,demand_kWh,dual,marginal_plant,marginal_type,technology_cost,emissions,flat_unit,flat_unit_eff
0,0.85,16,4921900.0,1.5467470775037429,HE Pirot,hydro,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.85,17,5096200.0,13.493076020947562,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.85,18,5187500.0,13.493076020947562,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.85,19,5174827.707,13.493076020947564,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.85,20,5158241.72,13.493076020947564,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.85,21,4967502.879,1.5604145391334683,Vrla 4,hydro,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.85,22,4793350.023,1.520772603204068,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.85,23,4635783.154,1.520772603204068,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.556228504103801
0,0.9,0,4619197.168,1.6084310776514874,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,1,4461630.298,1.6084310776514874,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,2,4469923.292,1.6084310776514874,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,3,4386993.36,1.6084310776514874,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,4,4254305.47,1.6069319023102917,Zvornik,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,5,4204547.512,1.5679781001989221,HEDJ 2,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,6,4672900.0,1.6084310776514874,HEDJ 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,7,5038100.0,1.6872896640037025,Vrla 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,8,5071300.0,14.24892994123328,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,9,5046400.0,8.011615754328119,mixed,mixed,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,10,5046400.0,7.493901472442131,Solarna Elektrana,solar,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,11,5029800.0,1.6872896640037025,Vrla 1,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,12,4980000.0,1.6637731548942245,Vrla 3,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,13,4963400.0,1.6359027401480617,HE Pirot,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,14,4921900.0,1.6359027401480617,HE Pirot,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,15,4921900.0,1.6359027401480617,HE Pirot,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,16,4921900.0,1.6359027401480617,HE Pirot,hydro,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,17,5096200.0,14.24892994123328,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,18,5187500.0,14.24892994123328,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
0,0.9,19,5174827.707,14.248929941233282,TETO NS,thermal-gas,485841414.6440354,74790981.00726643,TENT B1,4.767350663626085
